periode,geo,type_matiere,producteur,volume_tonnes
2022,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,6533.0
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,0.0
2020,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,
2022,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières résidentielles récupérées,0.0
2018,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,0.0
2020,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,"Déchets provenant de la construction, de la rénovation et de la démolition",Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Toutes les sources des matières récupérées,905.0
2020,Terre-Neuve-et-Labrador,Toutes les matières organiques,Toutes les sources des matières récupérées,915.0
2022,Terre-Neuve-et-Labrador,Toutes les matières organiques,Toutes les sources des matières récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières non résidentielles récupérées,
2020,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières non résidentielles récupérées,
2022,Terre-Neuve-et-Labrador,Toutes les matières organiques,Sources des matières non résidentielles récupérées,
2018,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,
2020,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,0.0
2022,Terre-Neuve-et-Labrador,Déchets de nourriture et matières organiques séparées à la source,Toutes les sources des matières récupérées,
